feature,coef_mean,coef_hdi_low,coef_hdi_high,odds_ratio,pct_effect,effect_type
Contract_Two year,-7.0958757504412615,-10.214376198078204,-4.716829302905133,0.0008285148888226038,-99.91714851111773,Protective
PaymentMethod_Credit card (automatic),-6.967477193189932,-9.587687186112646,-4.8207517846732575,0.0009420264613381465,-99.90579735386619,Protective
PaymentMethod_Bank transfer (automatic),-6.844096185258103,-9.456503050242581,-4.688069729802916,0.0010657290231140468,-99.89342709768859,Protective
TechSupport_Yes,-6.770507918446852,-9.874030717245445,-4.422960553197636,0.0011471118636336105,-99.88528881363663,Protective
MultipleLines_No phone service,-6.754703995051446,-10.385534323000144,-3.982960095543502,0.0011653847429206434,-99.88346152570794,Protective
PaymentMethod_Mailed check,-6.643565487568383,-9.253147371592293,-4.492426687261541,0.0013023753525054802,-99.86976246474946,Protective
Contract_One year,-6.440098719069284,-9.570079448236411,-4.055706589644731,0.0015962490926091377,-99.84037509073909,Protective
TechSupport_No,-6.430109707099646,-9.352231932128783,-3.9557750848102144,0.0016122739468853997,-99.83877260531146,Protective
MultipleLines_No,-6.240573161221551,-9.332646078455461,-3.676849300236141,0.0019487382614878275,-99.80512617385122,Protective
OnlineSecurity_Yes,-6.235070337414376,-9.30352309470782,-3.913078756876423,0.0019594913839215034,-99.80405086160785,Protective
PaymentMethod_Electronic check,-6.209224202623421,-8.841422022973017,-4.091894401241705,0.0020107968300214067,-99.79892031699787,Protective
StreamingMovies_No internet service,-6.157593525297456,-24.631832237263563,10.812886583759212,0.0021173424768621894,-99.78826575231378,Protective
DeviceProtection_No,-6.140319083772738,-9.276058223959069,-3.6463872637338826,0.0021542361268290446,-99.78457638731709,Protective
TechSupport_No internet service,-6.002688201955563,-24.06910419912373,13.291223842380107,0.0024720977384619027,-99.7527902261538,Protective
InternetService_No,-5.984605648121614,-24.019750922381064,12.129036420456794,0.0025172061877631745,-99.74827938122368,Protective
DeviceProtection_Yes,-5.9228073756706285,-8.89044869724404,-3.2520787096169643,0.002677672382923283,-99.73223276170768,Protective
OnlineBackup_No internet service,-5.885061360317494,-23.314210940569932,13.97031328633007,0.002780675596953282,-99.72193244030467,Protective
OnlineSecurity_No internet service,-5.868326856958922,-22.715175743161634,12.895775663958378,0.002827600358281127,-99.7172399641719,Protective
DeviceProtection_No internet service,-5.861750386540313,-22.94984534667132,12.639861248178784,0.0028462572694627434,-99.71537427305373,Protective
OnlineSecurity_No,-5.839158994914204,-8.79607180655738,-3.4426621736920793,0.0029112900062401156,-99.70887099937599,Protective
StreamingTV_No internet service,-5.626930262847035,-24.103109300128036,11.688265142558395,0.0035996082357410445,-99.6400391764259,Protective
MultipleLines_Yes,-5.580489564119379,-8.546200009441199,-2.8801497037123798,0.003770719058093531,-99.62292809419064,Protective
OnlineBackup_No,-5.496928741805153,-8.66952785779591,-2.862880641423234,0.004099342262977495,-99.59006577370225,Protective
OnlineBackup_Yes,-5.477487982529667,-8.498635071563077,-2.7586999596086055,0.004179816292685069,-99.58201837073149,Protective
Contract_Month-to-month,-5.474167765631448,-8.631396444715651,-3.1332406812911477,0.004193717253704174,-99.58062827462958,Protective
StreamingTV_No,-5.373074544871799,-8.38667534734077,-2.809122109291594,0.004639843949551056,-99.5360156050449,Protective
InternetService_DSL,-5.196431986710721,-8.78191587500381,-2.2920029786936613,0.005536282752641268,-99.44637172473587,Protective
StreamingMovies_No,-5.165156223032564,-8.137349620403532,-2.569535719573289,0.005712170396712533,-99.42878296032875,Protective
StreamingTV_Yes,-4.561929548917996,-7.633842655440282,-2.0805281005061724,0.010441891352346539,-98.95581086476535,Protective
StreamingMovies_Yes,-4.43184578993784,-7.4286390254753325,-1.8509272581504734,0.011892518311134172,-98.81074816888659,Protective
InternetService_Fiber optic,-2.908777493666421,-6.417150363114545,-0.051585787672442394,0.05454236751815597,-94.5457632481844,Protective
MonthlyCharges,-1.443807899784163,-3.2879358002836194,0.4075077991168574,0.23602727708091056,-76.39727229190895,Protective
tenure,-0.8591109802045797,-0.9753152316779435,-0.7461630732550751,0.42353844905955385,-57.646155094044616,Protective
Dependents,-0.5562296212185058,-0.7415352627189842,-0.390343959512946,0.5733668035748292,-42.66331964251708,Protective
Partner,-0.2034717763228167,-0.34968713155924125,-0.06394362133006348,0.8158932315048982,-18.41067684951018,Protective
PaperlessBilling,0.1511452866524995,0.017233840703849018,0.2863302799420736,1.1631656382481252,16.316563824812526,Risk
SeniorCitizen,-0.09234797778479574,-0.2610959290224176,0.08513854762059384,0.9117878124319859,-8.821218756801407,Protective
